Spotify;Titol;Cantant;Any;Tipus
spotify:track:4rvT5iZVOCJeXZrDvy6JFK;What Can I Do;The Corrs, Tin Tin Out;1998;Temacles
spotify:track:4LD5dhQ3kqpqe14sGPDtBC;Scream;Michael Jackson, Janet Jackson;1995;Temacles
spotify:track:3TCauNPqFiniaYHBvEVoHG;Beautiful;Christina Aguilera;2002;Temacles
spotify:track:0puf9yIluy9W0vpMEUoAnN;Bang Bang;Jessie J, Ariana Grande, Nicki Minaj;2014;Temacles
spotify:track:5vdp5UmvTsnMEMESIF2Ym7;Another One Bites The Dust - Remastered 2011;Queen;1980;Temacles
spotify:track:4VnzKUBMB6cvog8Jvv1few;Yellow River;Christie;1970;Temacles
spotify:track:1vxw6aYJls2oq3gW0DujAo;Crazy;Gnarls Barkley;2006;Temacles
spotify:track:5Hyr47BBGpvOfcykSCcaw9;"Holding Out for a Hero - From ""Footloose"" Soundtrack";Bonnie Tyler;1986;Temacles
spotify:track:3UmaczJpikHgJFyBTAJVoz;Stan;Eminem, Dido;2000;Temacles
spotify:track:37dYAkMa4lzRCH6kDbMT1L;We No Speak Americano (Edit);Yolanda Be Cool, DCup;2020;Temacles
spotify:track:4wDk9P2WSvHOsRW6SDYE7L;Que Te Quería;La Quinta Estacion;2009;Temacles
spotify:track:1KGi9sZVMeszgZOWivFpxs;No Scrubs;TLC;1999;Temacles
spotify:track:5hyq5k3Do9gW3HGvDg5ZEJ;La Lola;Café Quijano;1999;Temacles
spotify:track:5RzFJd6W40SDTyZkX6xx45;I Know You Want Me (Calle Ocho);Pitbull;2009;Temacles
spotify:track:0qi4b1l0eT3jpzeNHeFXDT;Just Can't Get Enough;Depeche Mode;1981;Temacles
spotify:track:0SiywuOBRcynK0uKGWdCnn;Bad Romance;Lady Gaga;2009;Temacles
spotify:track:4VrWlk8IQxevMvERoX08iC;Chandelier;Sia;2014;Temacles
spotify:track:0ny5zITdmyNwyTPVzRGscU;What You Waiting For?;Gwen Stefani;2004;Temacles
spotify:track:7uou7DWqEQSNfxcfipxyIu;Cuéntame un cuento;Celtas Cortos;1991;Temacles
spotify:track:4z7maGZkAonDlXlwo8q69f;Da Ya Think I'm Sexy?;Rod Stewart;1978;Temacles
spotify:track:6YYmoV9YbBefsspGmqFHbs;Una Vaina Loca;Fuego;2011;Temacles
spotify:track:3zHq9ouUJQFQRf3cm1rRLu;"Love Me Like You Do - From ""Fifty Shades Of Grey""";Ellie Goulding;2015;Temacles
spotify:track:0xmjwnQ3FNE6HuWCt2nHdZ;Where Is The Love?;Black Eyed Peas;2003;Temacles
spotify:track:5g6nzsOxwxdoj6sqAl0NXB;It's Raining Men;The Weather Girls;1996;Temacles
spotify:track:6uJrLZzBxS4JewGnihjNzM;The Rockafeller Skank;Fatboy Slim;1998;Temacles
spotify:track:2CEgGE6aESpnmtfiZwYlbV;Dynamite;Taio Cruz;2010;Temacles
spotify:track:4V9BTST4BSkvOL4xIQNHuS;Heaven Is A Place On Earth;Belinda Carlisle;1987;Temacles
spotify:track:7kXmJwrZGIhDaLT9sNo3ut;Hey Boy Hey Girl;The Chemical Brothers;1999;Temacles
spotify:track:6ocbgoVGwYJhOv1GgI9NsF;7 rings;Ariana Grande;2019;Temacles
spotify:track:6pMHMzwTsWIxLigr54GGVm;Rock Your Baby;George McCrae;2010;Temacles
spotify:track:38GqIQ4RVkat91RnQrLJYP;Love Is In The Air;John Paul Young;1989;Temacles
spotify:track:5LGqFIVBf3ZUeFBpc87CFS;Life;Des'ree;1998;Temacles
spotify:track:4S6gJt4RYR34t4sjW8wEah;Lo siento;Beret;2018;Temacles
spotify:track:3bC1ahPIYt1btJzSSEyyrF;Whistle;Flo Rida;2012;Temacles
spotify:track:5vCgDt0CtheaWVKzMW5KkO;Cero;Dani Martín;2013;Temacles
spotify:track:06KyNuuMOX1ROXRhj787tj;We Don't Talk Anymore (feat. Selena Gomez);Charlie Puth, Selena Gomez;2016;Temacles
spotify:track:4S1VYqwfkLit9mKVY3MXoo;Forever Young;Alphaville;1984;Temacles
spotify:track:0nQLxiNGbbUoSGrxksETLm;The Power;SNAP!;1990;Temacles
spotify:track:7kSclohbIAwXvlN0wU1wks;Locomia;Locomia;2016;Temacles
spotify:track:0TDLuuLlV54CkRRUOahJb4;Titanium (feat. Sia);David Guetta, Sia;2012;Temacles
spotify:track:6JymsaWDHk2Yj4e0yNBIFH;Jump Around;House Of Pain;1992;Temacles
spotify:track:5Qjx4obghhfhsh6DiUwpNM;Mayonesa;Chocolate;2000;Temacles
spotify:track:1EC0JRoSi9YL5zExd3Euc3;No Puedo Vivir Sin Ti;Los Ronaldos;2007;Temacles
spotify:track:5X9yP4oSAHO8gdN5Zom5of;America America;Nino Bravo;2005;Temacles
spotify:track:5BY0p2EH4EznNZ0MFD9mjt;Me Enamora;Juanes;2007;Temacles
spotify:track:0gBfLS4aqbrr1ZvVv8dqWB;Stereo Love;Edward Maya, Vika Jigulina;2009;Temacles
spotify:track:7HW5WIw7ZgZORCzUxv5gW5;Don't Go Breaking My Heart;Elton John, Kiki Dee;1975;Temacles
spotify:track:49FYlytm3dAAraYgpoJZux;Umbrella;Rihanna, JAY-Z;2008;Temacles
spotify:track:31AOj9sFz2gM0O3hMARRBx;Losing My Religion;R.E.M.;1991;Temacles
spotify:track:1gkBsKxTpVHIn1nLf05CUo;Peter Pan;El Canto Del Loco;2008;Temacles
spotify:track:6QgjcU0zLnzq5OrUoSZ3OK;Feel It Still;Portugal. The Man;2017;Temacles
spotify:track:41nv6To7wnoVnFJSb1FF36;Escapar (Slipping Away) (feat. Amaral) - 2006 Remastered Version;Moby, Amaral;2006;Temacles
spotify:track:0pqnGHJpmpxLKifKRmU6WP;Believer;Imagine Dragons;2017;Temacles
spotify:track:32OlwWuMpZ6b0aN2RZOeMS;Uptown Funk (feat. Bruno Mars);Mark Ronson, Bruno Mars;2015;Temacles
