Spotify;Titol;Cantant;Any;Tipus
spotify:track:2A2Q4CYBcVvBF2OqgJ3OWX;Ya No Quiero Ná;Lola Indigo;2018;Temacles
spotify:track:4YYd1oPidpG7rVu4OLjPG7;Viaje con nosotros;Orquesta Mondragon;1980;Temacles
spotify:track:0Dm43YLUlGdePpSbI1ct8h;Part-Time Lover;Stevie Wonder;1985;Temacles
spotify:track:1n7omixiROWs5q6xpWiQuL;Satisfaction - Isak Original Extended;Benny Benassi, The Biz;2003;Temacles
spotify:track:4bJygwUKrRgq1stlNXcgMg;All The Things She Said;t.A.T.u.;2002;Temacles
spotify:track:2Za2mUwmQoSxWPscaY2vxl;Murder On The Dancefloor;Sophie Ellis-Bextor;2002;Temacles
spotify:track:2yc9sElleYDl3NXMZSgsRv;Blanco y Negro;Malú;2010;Temacles
spotify:track:6JV2JOEocMgcZxYSZelKcc;"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;2016;Temacles
spotify:track:5zNlrLpJFZt3RvRe9A0Hed;Mi Religión;Nil Moliner;2020;Temacles
spotify:track:583xVl0Sbj93uU4ceixgU8;I'm Outta Love - Radio Edit;Anastacia;1999;Temacles
spotify:track:00i0O74dXdaKKdCrqHnfXm;La Mordidita (feat. Yotuel);Ricky Martin, Yotuel;2015;Temacles
spotify:track:3PR79C1jVvLLLmgdyHkXl3;That's the Way (I Like It) - 2004 Remaster;KC & The Sunshine Band;1975;Temacles
spotify:track:0ire4j2mcGovF5JA1D2cTp;Don't Leave Me This Way (with Sarah Jane Morris);The Communards, Sarah Jane Morris;1986;Temacles
spotify:track:54X78diSLoUDI3joC2bjMz;Purple Rain;Prince;1984;Temacles
spotify:track:1ckqbT2LtD2K1Mqvlmo21n;La vida pasa felizmente (remastered);Luis Aguile;2002;Temacles
spotify:track:2iJuuzV8P9Yz0VSurttIV5;Scream & Shout;will.i.am, Britney Spears;2013;Temacles
spotify:track:6AsF1pBjFMIEMXuA8JgRag;Dolce Vita;Ryan Paris;2009;Temacles
spotify:track:1DxT6f6mH7kLriOUWbujup;All Night Long (All Night);Lionel Richie;1983;Temacles
spotify:track:2GcjfckZexh9wRRjg9KtQG;Tiburon;Proyecto Uno;1997;Temacles
spotify:track:3QiRtWfWlZtLz43VbJRiEm;Aire - Remastered;Pedro Marin;2015;Temacles
spotify:track:3c8iiZGfEammKJuWTErE5x;Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson);Felix Jaehn, Jasmine Thompson;2018;Temacles
spotify:track:4pbyDPjFgfPqFTcIMC8xpK;Rock DJ;Robbie Williams;2000;Temacles
spotify:track:0vg4WnUWvze6pBOJDTq99k;You're Beautiful;James Blunt;2005;Temacles
spotify:track:4kLLWz7srcuLKA7Et40PQR;I Gotta Feeling;Black Eyed Peas;2009;Temacles
spotify:track:54OR1VDpfkBuOY5zZjhZAY;YMCA - Original Version 1978;Village People;1978;Temacles
spotify:track:7jK3BKP4SDY3MGHKgbGcp9;Juntos;Paloma San Basilio;1981;Temacles
spotify:track:5rb9QrpfcKFHM1EUbSIurX;Yeah! (feat. Lil Jon & Ludacris);USHER, Lil Jon, Ludacris;2004;Temacles
spotify:track:4cOdK2wGLETKBW3PvgPWqT;Never Gonna Give You Up;Rick Astley;1987;Temacles
spotify:track:3qD3IT0t8QnkD80DEYvRgr;Greased Lightnin';John Travolta;2008;Temacles
