URI;CanÃ§Ã³;IntÃ¨rpret;Any de publicaciÃ³
spotify:track:6CHENx8iqzMwavTIz8s0gm;Violet;Hole;1995
spotify:track:4Gz79kVUfXjvdChYYl2vh4;Waking Up;Elastica;1995
spotify:track:0Dw9z44gXhplDh5HCWZIxP;You Oughta Know;Alanis Morissette;1995
spotify:track:2Zmf0oLj8gB1oREryOoue2;Ironic;Alanis Morissette;1996
spotify:track:2RGkXGHRIWZxvrjvdEDNr2;Stupid Girl;Garbage;1996
spotify:track:1HsbGJnOXPWfocSS6FoR60;You Learn;Alanis Morissette;1996
spotify:track:0KDaN0HL3TcJVTbXlQCEsS;Torn;Natalie Imbruglia;1997
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa;...Baby One More Time;Britney Spears;1998
spotify:track:2V4Bc2I962j7acQj1N0PiQ;Celebrity Skin;Hole;1998
spotify:track:5i3jxCTGqa5zbplZzYzUcP;Push It (2018 Remaster);Garbage;1998
spotify:track:19G6fYQ7zRgmV3k3aFbvVh;Special (2018 Remaster);Garbage;1998
spotify:track:3CVDronuSnhguSUguPoseM;Thank U;Alanis Morissette;1998
spotify:track:7c1iI6dwdCpHGYT8DGEfab;Uninvited;Alanis Morissette;1998
spotify:track:11mwFrKvLXCbcVGNxffGyP;Genie In a Bottle;Christina Aguilera;1999
spotify:track:5bGmuxShUba9maPswDnhCs;What a Girl Wants;Christina Aguilera;1999
spotify:track:6naxalmIoLFWR0siv8dnQQ;Oops!...I Did It Again;Britney Spears;2000
spotify:track:5QhBKPqsnX1uY9fZNaAtZg;Stronger;Britney Spears;2000
spotify:track:0KQx6HOpJueiSkztcS0r7D;Fallin';Alicia Keys;2001
spotify:track:5p0KCAuu5nrHpTuAIhHdLw;Overprotected - Radio Edit;Britney Spears;2001
spotify:track:3TCauNPqFiniaYHBvEVoHG;Beautiful;Christina Aguilera;2002
spotify:track:59ZTxQo8rBycIXPLUIKvE2;Christina Aguilera, Redman;Dirrty;2002
spotify:track:5IVuqXILoxVWvWEPm82Jxr;BeyoncÃ©, JAY-Z;Crazy in Love;2003
spotify:track:7nXq1vaZiz7PdbfojpPjW5;Fighter;Christina Aguilera;2003
