Pagina_QR,Spotify_URI,Info_Canco
25,https://www.youtube.com/watch?v=hptUE57xH74,No detectat
25,https://www.youtube.com/watch?v=rkAf8yPqth0,No detectat
25,https://www.youtube.com/watch?v=U_VcW5XAedE,No detectat
25,https://www.youtube.com/watch?v=eTtt6s27DzY,No detectat
25,https://www.youtube.com/watch?v=7Oqnqy9bfJ8,No detectat
25,https://www.youtube.com/watch?v=95JHOXoXR6M,No detectat
25,https://www.youtube.com/watch?v=-UV0QGLmYys,No detectat
27,https://www.youtube.com/watch?v=ugxR6TElTRE,El Mundo | 2015
27,https://www.youtube.com/watch?v=SA7Y8EM7g44,Mi Héroe | 2015
27,https://www.youtube.com/watch?v=chm79IPVekU,Solo Tú | 2012
27,https://www.youtube.com/watch?v=v0TFfDw_Q6s,Un Bar | 1987
27,https://www.youtube.com/watch?v=W1k_XlnJu1U,Billy Joe | 1989
27,https://www.youtube.com/watch?v=edFNaHedA3U,No detectat
27,https://www.youtube.com/watch?v=Q_j6iSwXCD4,No detectat
27,https://www.youtube.com/watch?v=6mVo3potenk,No detectat
27,https://www.youtube.com/watch?v=F0rwOsAteXM,No detectat
27,https://www.youtube.com/watch?v=q9bnUgMnQeY,No detectat
27,https://www.youtube.com/watch?v=KLPWXIWpCiA,No detectat
27,https://www.youtube.com/watch?v=3KYS_ir9VkY,No detectat
29,https://www.youtube.com/watch?v=mRlX4XegMBU,ascensor | 1988
29,https://www.youtube.com/watch?v=RVUs4CKRF4I,Destino | 2002
29,https://www.youtube.com/watch?v=CivOV2y7KiA,Lo siento | 2018
29,https://www.youtube.com/watch?v=UftowLtrFVc,Eras Tú | 2005
29,https://www.youtube.com/watch?v=XhGOKMtuDfE,No detectat
29,https://www.youtube.com/watch?v=6oIeEpo0vCY,No detectat
29,https://www.youtube.com/watch?v=HPqduBYgUu8,No detectat
29,https://www.youtube.com/watch?v=aYsFb7S8LFc,No detectat
29,https://www.youtube.com/watch?v=M6QPW0l89qs,No detectat
29,https://www.youtube.com/watch?v=E2N6UahtzK4,No detectat
29,https://www.youtube.com/watch?v=ot4jhKgf5MY,No detectat
29,https://www.youtube.com/watch?v=_wzDmQQz2NU,No detectat
31,https://www.youtube.com/watch?v=Ry7Tp-dH9x0,Aprendiz | 1998
31,https://www.youtube.com/watch?v=jdnYH-kGzP4,Besos | 2005
31,https://www.youtube.com/watch?v=hd3EMefTk7w,Princesas | 2005
31,https://www.youtube.com/watch?v=GKlpL4FhzUs,Delgadito | 2001
31,https://www.youtube.com/watch?v=ZaEc1eiHBsw,Años 80 | 2001
31,https://www.youtube.com/watch?v=USlpL-t98_8,No detectat
31,https://www.youtube.com/watch?v=mzSI1oUXYxs,No detectat
31,https://www.youtube.com/watch?v=b81kOviE7EI,No detectat
31,https://www.youtube.com/watch?v=A9UdCLGvjXg,No detectat
31,https://www.youtube.com/watch?v=VMp55KH_3wo,No detectat
31,https://www.youtube.com/watch?v=7C9eB2RVIl0,No detectat
31,https://www.youtube.com/watch?v=Lv7dg4WP_bA,No detectat
33,https://www.youtube.com/watch?v=-zZR1dvuzuo,Moving | 2008
33,https://www.youtube.com/watch?v=adLjbU4zHTg,darte | 2008
33,https://www.youtube.com/watch?v=HLSEhAqxJpU,Obsesión | 2002
33,https://www.youtube.com/watch?v=65qyXoiSGSI,No detectat
33,https://www.youtube.com/watch?v=MGO8U2eb3vQ,No detectat
33,https://www.youtube.com/watch?v=qNEJ5yluDgs,No detectat
33,https://www.youtube.com/watch?v=kZBzFOd9nwI,No detectat
33,https://www.youtube.com/watch?v=rd8ZFtD5rM8,No detectat
33,https://www.youtube.com/watch?v=8_QY5gFQUTg,No detectat
33,https://www.youtube.com/watch?v=6ikznQPMSv0,No detectat
33,https://www.youtube.com/watch?v=BcFArgNS_KU,No detectat
35,https://www.youtube.com/watch?v=29NM6ySmwfQ,Azul | 2001
35,https://www.youtube.com/watch?v=9xEKOO90x54,Te Regalo | 2005
35,https://www.youtube.com/watch?v=0phlktmU6eo,Silencio | 2003
35,https://www.youtube.com/watch?v=C5ybwoGqkPs,Pensao | 2024
35,https://www.youtube.com/watch?v=oie3H4ocMCc,estará | 2006
35,https://www.youtube.com/watch?v=g69lndkT9sQ,No detectat
35,https://www.youtube.com/watch?v=qZ1H-e8Z-LY,No detectat
35,https://www.youtube.com/watch?v=JPdm1AskDfc,No detectat
35,https://www.youtube.com/watch?v=RbRzHhmVR64,No detectat
