Spotify;Titol;Cantant;Any;Tipus
spotify:track:4d6eqRtpDX7tydHJGDZUBQ;She Drives Me Crazy;Fine Young Cannibals;1988;Bàsic
spotify:track:0Gw9QC3RqHmTdGqHIWLHb6;La Isla del Amor (feat. Maki);Demarco Flamenco, Maki;2017;Bàsic
spotify:track:2G0GextMwZJLkNxcSZ7ZJ3;(What A) Wonderful World - Mono;Sam Cooke;1960;Bàsic
spotify:track:0Gx4VrHzS7pZOEAGrmXXBH;La Bicicleta;Carlos Vives, Shakira;2017;Bàsic
spotify:track:42ydLwx4i5V49RXHOozJZq;Scars To Your Beautiful;Alessia Cara;2016;Bàsic
spotify:track:7lnlxvKtaHz3JqGxZDl6Wy;Dile - Remastered;Luis Aguile;2008;Bàsic
spotify:track:20I6sIOMTCkB6w7ryavxtO;Call Me Maybe;Carly Rae Jepsen;2012;Bàsic
spotify:track:5oQadhkuEdEhtdVn0QceyZ;Se fué;Laura Pausini;1994;Bàsic
spotify:track:1qPbGZqppFwLwcBC1JQ6Vr;Wonderwall;Oasis;1995;Bàsic
spotify:track:27SdWb2rFzO6GWiYDBTD9j;Cheap Thrills;Sia;2016;Bàsic
spotify:track:5vFFwU909VMZIBA7sZPtW0;Super Freak;Rick James;1981;Bàsic
spotify:track:2PpruBYCo4H7WOBJ7Q2EwM;Hey Ya!;Outkast;2003;Bàsic
spotify:track:4oW1lGOw5Q5OLvoJv92qoE;I Can Help;Billy Swan;1998;Bàsic
spotify:track:3UI9I3e1g1y5T3SMfdgfGO;Colgando en tus manos (con Marta Sánchez);Carlos Baute, Marta Sánchez;2009;Bàsic
spotify:track:4uaffKRsN1NEQWVmkwMDAZ;Black is Black;Los Bravos;1966;Bàsic
spotify:track:5IKLwqBQG6KU6MP2zP80Nu;We Are Family - 1995 Remaster;Sister Sledge;1979;Bàsic
spotify:track:3lpF8AbTteK4bXXZMhm31n;Un Ramito de Violetas;Cecilia;2013;Bàsic
spotify:track:1oaPnvUccVzyjsKFkuE7oA;Soy rebelde;Jeanette;2011;Bàsic
spotify:track:35tzxthMBglBMjmZ7Fn1hj;Gloria;Umberto Tozzi;1979;Bàsic
spotify:track:4BFMQ15vXr626UOoZL8bUI;"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack";Bill Medley, Jennifer Warnes;2004;Bàsic
spotify:track:3K7Q9PHUWPTaknlbFPThn2;Celebration;Kool & The Gang;1980;Bàsic
spotify:track:2gQaQUhDCNGfBVXTvxAmXQ;Shout;Tears For Fears;1985;Bàsic
spotify:track:2Fxmhks0bxGSBdJ92vM42m;bad guy;Billie Eilish;2019;Bàsic
spotify:track:6PypGyiu0Y2lCDBN1XZEnP;Everybody Hurts;R.E.M.;1992;Bàsic
spotify:track:2oI6d7XcMz1AMTQhDopV5J;Resistiré;Duo Dinamico;1988;Bàsic
spotify:track:2IofpcCv3PjgZ5AjX446fi;Dime Que Me Quieres;Tequila;1980;Bàsic
spotify:track:4B6ko7lt1sUtyFzBDF4yfK;Pajaros de Barro;Manolo Garcia;1998;Bàsic
spotify:track:2mTiKaGdMPA4wfOGGUroE5;When a Man Loves a Woman - Mono;Percy Sledge;1966;Bàsic
spotify:track:30ddpolNHwXlrS5XO8MiiO;Marta, Sebas, Guille y los demás;Amaral;2005;Bàsic
spotify:track:1uAjXdRxH2PBCKGSWPagGJ;Libre;Nino Bravo;1976;Bàsic
spotify:track:57iDDD9N9tTWe75x6qhStw;Bitter Sweet Symphony - Remastered 2016;The Verve;1997;Bàsic
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj;I Wanna Dance with Somebody (Who Loves Me);Whitney Houston;1987;Bàsic
spotify:track:42VgiRyg0YjtRVLiPFNxPJ;Zapatillas;El Canto Del Loco;2005;Bàsic
spotify:track:0KMGf0ebdR8aazf1PoHEdb;Guajira Guantanamera;Joseito Fernández;2012;Bàsic
spotify:track:7COfe3P7KgfwDwIRB8LIDw;Mi Gente;J Balvin, Willy William;2018;Bàsic
spotify:track:2Cd9iWfcOpGDHLz6tVA3G4;Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground);Shakira, Freshlyground;2010;Bàsic
spotify:track:2pag2vElkdroT8hIO4Gozi;It's a Heartache;Bonnie Tyler;2006;Bàsic
spotify:track:2Hdf9j4LFuisyOpf9ZjNbC;La Felicidad;Palito Ortega;2001;Bàsic
