Spotify;Titol;Cantant;Any;Tipus
spotify:track:3iB8eciGU9vZkaDYkz7Ir9;Bamboleo;Gipsy Kings;1987;Bàsic
spotify:track:6b37xrsNCWYIUphFBazqD6;Me Gustas Tú;Manu Chao;2001;Bàsic
spotify:track:4FdwRmlzP5KGM7OewGBYiu;Olvídame y Pega la Vuelta;Pimpinela;1982;Bàsic
spotify:track:017PF4Q3l4DBUiWoXk4OWT;Break My Heart;Dua Lipa;2020;Bàsic
spotify:track:6uW0PIRcyZLvkoonm763xD;Contando Lunares (feat. Cruz Cafuné);Don Patricio, Cruz Cafuné;2019;Bàsic
spotify:track:7s25THrKz86DM225dOYwnr;Respect;Aretha Franklin;1967;Bàsic
spotify:track:6mOZfn6CVXsX1Tt0l3thm3;Sin documentos;Los Rodriguez;1996;Bàsic
spotify:track:7qiZfU4dY1lWllzX7mPBI3;Shape of You;Ed Sheeran;2017;Bàsic
spotify:track:7HKez549fwJQDzx3zLjHKC;Start Me Up - Remastered 2009;The Rolling Stones;1981;Bàsic
spotify:track:1q8NdCAQ9QUjpYiqzdd3mv;Atrévete-Te-Te;Calle 13;2005;Bàsic
spotify:track:74mVYAylZcHEY4WVFoFplV;Space Oddity - 1999 Remaster;David Bowie;2002;Bàsic
spotify:track:2LpCMTQ8VM1ssTdfLjeyzQ;Pena Penita Pena;Lola Flores;1991;Bàsic
spotify:track:2IHaGyfxNoFPLJnaEg4GTs;"What Is Love - 7"" Mix";Haddaway;1993;Bàsic
spotify:track:02dphTJYUQ9pmdNC52iyOz;Fiesta Pagana;Mägo de Oz;2000;Bàsic
spotify:track:2zNDRGoRkNEkMhO5fcGTMv;Sarandonga;Lolita;2001;Bàsic
spotify:track:3VNxbWlw9oVvxSnSbeiCBb;Cadillac solitario;Loquillo;2009;Bàsic
spotify:track:3hlWUNjAlbZ6nOjAbrivBv;Princesas;Pereza;2005;Bàsic
spotify:track:2Ms33RTRCT6gArrpcrPxmo;Feel;Robbie Williams;2002;Bàsic
spotify:track:1he4G9w0zh5GokInpOSINW;Ni La Hora;Ana Guerra, Juan Magán;2018;Bàsic
spotify:track:1dgi28o666VmqNP1JALauv;La Escoba;Los Sirex;1964;Bàsic
spotify:track:6kFowCmp5RNQhsK8LzC0gp;Mis Manos en Tu Cintura;Adamo;1995;Bàsic
spotify:track:5xv4ggemGPNpowZAMwEYHH;Girlfriend - Radio Edit;Avril Lavigne;2007;Bàsic
spotify:track:1gNXYvLc14OmqK6gSJKLUM;Como una Ola;Rocío Jurado;1999;Bàsic
spotify:track:61VeJ59zufLceZXb1SSVKu;Help, áyudame;Tony Ronald;2001;Bàsic
spotify:track:1SOAN58QwnQABl2SND1wMh;Congratulations - 1998 Remaster;Cliff Richard;2008;Bàsic
spotify:track:6fw12s3vAJQAt7lbICodwC;"I Will Survive - Original 7"" Version";Gloria Gaynor;1993;Bàsic
spotify:track:3Dy4REq8O09IlgiwuHQ3sk;Waterloo;ABBA;1974;Bàsic
spotify:track:2c3sKqWYVJ0NsE3elgRhKH;Dragostea Din Tei;O-Zone;2004;Bàsic
spotify:track:0GVQMLYWayDvznAkyz4esU;Tres Veces Guapa;Jorge Sepúlveda;2015;Bàsic
spotify:track:2cHbN7OosXb4pA20G9Jcyg;Live And Let Die - Main Title;Paul McCartney, Wings;1987;Bàsic
spotify:track:5dXJ1SoksFkgdx3yxIoYNO;You're The First, The Last, My Everything;Barry White;1974;Bàsic
spotify:track:7Bewui7KtaMzROeteRitRz;Mediterráneo;Joan Manuel Serrat;1971;Bàsic
spotify:track:0VjIjW4GlUZAMYd2vXMi3b;Blinding Lights;The Weeknd;2020;Bàsic
spotify:track:6Pgkp4qUoTmJIPn7ReaGxL;Without You (feat. Sandro Cavazza);Avicii, Sandro Cavazza;2017;Bàsic
spotify:track:7jhKkbM3KZvnuqzMX5fADH;In the Summertime;Mungo Jerry;1971;Bàsic
spotify:track:03UrZgTINDqvnUMbbIMhql;Gangnam Style (강남스타일);PSY;2012;Bàsic
spotify:track:07nrFSbS6ht0jMNpTpMfsg;Soy un Truhán, Soy un Señor;Julio Iglesias;1998;Bàsic
spotify:track:2T3jgoAMbBXiMMD8pSc6QL;This Is The Life;Amy Macdonald;2007;Bàsic
spotify:track:4eJikwHYHJ3yMg1tvS1Mom;Chiquilla;Seguridad Social;1991;Bàsic
spotify:track:71yCMlsD6qbD7NmNUEoVNR;Ca plane pour moi;Plastic Bertrand;1998;Bàsic
spotify:track:5ZULALImTm80tzUbYQYM9d;Dance Monkey;Tones And I;2019;Bàsic
spotify:track:5N5k9nd479b1xpDZ4usjrg;Promises (with Sam Smith);Calvin Harris, Sam Smith, Jessie Reyez;2018;Bàsic
spotify:track:1rfofaqEpACxVEHIZBJe6W;Havana (feat. Young Thug);Camila Cabello, Young Thug;2018;Bàsic
spotify:track:1tmwswvJnwOIrskyCKVsgv;Todos los días sale el sol;Bongo Botrako;2010;Bàsic
spotify:track:0mGvaKpwLYoybnIoboC3uS;Yo Te Esperaré;Cali Y El Dandee;2012;Bàsic
spotify:track:6xunIjRX7KeF4OxFkpPeZO;Tómbola;Marisol;2013;Bàsic
spotify:track:2aI21FnmY7TJVKeMaoQZ0t;Say It Right;Nelly Furtado;2006;Bàsic
spotify:track:059G9tpE3kl6wz3kiddaN0;Vivo Cantando;Salomé;2003;Bàsic
spotify:track:4bE1OpWxbtFOdNDF7rJMta;En el Amor Todo Es Empezar (A far l'amore comincia tu) - Spanish Version;Raffaella Carrà;2020;Bàsic
spotify:track:0gmbgwZ8iqyMPmXefof8Yf;How You Remind Me;Nickelback;2001;Bàsic
spotify:track:3ROd8cCRdRJpeh6P2zTAJk;Me Quedo Contigo;Los Chunguitos;1991;Bàsic
spotify:track:1RouRzlg8OKFeqc6LvdxmB;Felices los 4;Maluma;2018;Bàsic
spotify:track:2nwCO1PqpvyoFIvq3Vrj8N;These Boots Are Made For Walkin';Nancy Sinatra;1966;Bàsic
spotify:track:2aEeghgUcnu75tzcolFMfs;La Bamba - Single Version;Ritchie Valens;1959;Bàsic
spotify:track:4xuQ7KieQmHXiYdh965WQR;Canta y Sé Feliz;Peret;2001;Bàsic
spotify:track:63OFKbMaZSDZ4wtesuuq6f;Born To Be Wild;Steppenwolf;1968;Bàsic
spotify:track:5fc3XWSpJo6jTlbjnhGOJQ;Eva Maria;Formula V;1985;Bàsic
spotify:track:2GbePPrWWSRxcmW6QRSPae;Piece of My Heart;Erma Franklin;2009;Bàsic
spotify:track:1qDrWA6lyx8cLECdZE7TV7;Somebody That I Used To Know;Gotye, Kimbra;2011;Bàsic
