Spotify;Títol;Artista;Any;Pel·lícula
spotify:track:3e6pMd60bzt4Kd72qmPRfA;I'm Always Here;Jimi Jamison;2006;I'm Always Here
spotify:track:1fiorGW4O4s6vpFhbdc7EV;Kokomo;The Beach Boys;2019;80s Songs
spotify:track:5BZAhQYLSqjtF4Xio5MIQd;The Diva Dance;Éric Serra, Inva Mula;1997;Le cinquième élément (Original Motion Picture Soundtrack)
spotify:track:57feAoAx0AkUZL9YskARaF;"Main Theme - From ""Police Academy""";London Music Works;2012;Police Academy Theme
spotify:track:0Bm4ERW2KHz2Ol0JFlAh2n;Falcon Crest Main Theme;Marc Bradley;2013;Falcon Crest: Themes from the Television Series
spotify:track:4nZInUxh3l1qp2nUFq1ICp;Extreme Ways;Richard Hall, Moby;2004;The Bourne Supremacy (Original Motion Picture Soundtrack)
spotify:track:62Da3JOu9H9EIgmqV7DoLG;Lux Aeterna;Clint Mansell, Kronos Quartet;2000;Requiem for a Dream / OST
spotify:track:1Eb90nmqTrxylKFhcUzW8P;(Everything I Do) I Do It For You;Bryan Adams;1991;Waking Up The Neighbours
spotify:track:5L5fwo8nQjcFhSMTWpLOes;Prelude;Bernard Herrmann;2014;Psycho (Original Soundtrack Theme)
spotify:track:4dBllWRbahO6aIC4pLGjHa;Supercalifragilisticexpialidocious;Julie Andrews, Dick Van Dyke, The Pearlie Chorus;1997;Mary Poppins Original Soundtrack
spotify:track:3b8Dhzmkq4eTcGEr8NL3U1;Modern Family Main Theme;Geek Music;2016;Modern Family Main Theme
spotify:track:5QMytOF6piEYwZDCHbjxTf;Indiana Jones Theme;John Williams, Hollywood Studio Orchestra;2020;Indiana Jones Theme
spotify:track:3TjlENVEU3a0s6s8BXyobq;Woke Up This Morning - Chosen One Mix;Alabama 3;2000;La Peste
spotify:track:1RZ6jzlPeEaDeKYe7IJ792;West Side Story: Act I: America;Leonard Bernstein, West Side Story Ensemble (Original Motion Picture Soundtrack), Johnny Green, West Side Story Orchestra;1961;West Side Story (Original Motion Picture Soundtrack)
spotify:track:4cbJwuAEbaodP4InQDfAmW;"Let It Go - From ""Frozen / Single Version";Demi Lovato;2014;Demi (Deluxe)
spotify:track:0juPSJLFnLFim7BK6VzTes;"The Pink Panther Theme - From ""The Pink Panther""";Henry Mancini, Plas Johnson;1963;The Pink Panther - Original Soundtrack
spotify:track:7h5crXBSY5SSpXRIlklv74;The Bare Necessities;Phil Harris, Bruce Reitherman;1997;The Jungle Book
spotify:track:3zXIvb4nZ3cTdT8CsbTy3U;I'm Just Ken;Ryan Gosling;2023;Barbie The Album
spotify:track:3ik79qXV15D3ae33uveasw;Love Song for a Vampire;Annie Lennox;2009;The Annie Lennox Collection
spotify:track:2R2gMe3zb9BgCdT2PZh1s3;"Main Title (from the Television Series ""Knight Rider"")";Stu Phillips;2020;Knight Rider (Original Television Soundtrack)
spotify:track:5e0O7MjhNHq9G67qDFM8nR;Monsters, Inc.;Randy Newman;2001;Monsters, Inc. (Original Motion Picture Soundtrack)
spotify:track:008wXvCVu8W8vCbq5VQDlC;Django;Luis Bacalov, Rocky Roberts;2012;Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack
spotify:track:3jJ9djWzDlQnqDd7vTZs9K;"Mon Soleil - from ""Emily in Paris"" Soundtrack";Ashley Park;2021;"Mon Soleil (from ""Emily in Paris"" Soundtrack)"
spotify:track:6C2PfemHQul77DVpnvuAIs;Gonna Fly Now;Bill Conti;1982;Rocky III: Music From The Motion Picture
spotify:track:285ieonEuLkll3zknYK2TY;The Last of Us;Gustavo Santaolalla;2013;The Last of Us
spotify:track:4rVrHxLGV2iSN4nJtI9hKh;Mah Na Mah Na;Mahna Mahna and The Two Snowths;2011;The Muppets (Original Motion Picture Soundtrack)
spotify:track:43B5NwirruWiXQi5V1LaOd;Star Trek - The Motion Picture: Main Title;Jerry Goldsmith, Boston Pops Orchestra, John Williams;1983;Pops Out Of This World
spotify:track:0g9ne3xgPwtCj4W7QR7RFY;Out Of Reach;GABRIELLE;2001;Bridget Jones's Diary (Music From The Motion Picture)
spotify:track:0phGofl3ppS5Itk1zM9eKa;"Ghostbusters - from the ""Ghostbusters"" Original Motion Picture Soundtrack";Ray Parker Jr.;1984;Ghostbusters (Original Motion Picture Soundtrack) [1984]
spotify:track:6kucJsz2GR6oN8glzqGdTh;Main Title - Gone With the Wind;Max Steiner;1940;Gone With the Wind (Original Motion Picture Soundtrack)
spotify:track:6TgUmUgpfE2b6g9HcgHulQ;"Gotcha (Theme From ""Starsky & Hutch"")";Tom Scott;1988;The Best Of Tom Scott
spotify:track:4HjwGX3pJKJTeOSDpT6GCo;What's New Pussycat?;Tom Jones;1966;What's New Pussycat
spotify:track:2R7Bg8CbvJDmfiSRZ0qgOh;1988: Let The River Run (Working Girl);Movie Sounds Unlimited;2010;Movie Award Winners - Best Songs Vol. 4, 1988 - 2009
spotify:track:291EXOi90ZIFIlQWcaC7vV;Murder, She Wrote: Main Theme;John Addison, Rumon Gamba, BBC Concert Orchestra;2007;The Film Music of John Addison
spotify:track:0gJBPDy458wPeWGHei3TvO;Here I Am - End Title;Bryan Adams;2002;Spirit: Stallion Of The Cimarron (Music From The Original Motion Picture)
spotify:track:5t5LFepMdws4nudg1EiWdd;We're All In This Together;High School Musical Cast, Disney;2006;High School Musical Original Soundtrack
